-15 0
-14.8 0
-14.6 0
-14.4 0
-14.2 0
-14 0
-13.8 0
-13.6 0
-13.4 0
-13.2 0
-13 0
-12.8 0
-12.6 0
-12.4 0
-12.2 0
-12 0
-11.8 0
-11.6 1.25e-05
-11.4 1.25e-05
-11.2 5e-05
-11 8.75e-05
-10.8 0.000125
-10.6 0.00015
-10.4 0.0002
-10.2 0.0003
-10 0.0004875
-9.8 0.0004
-9.6 0.000575
-9.4 0.0007
-9.2 0.0008375
-9 0.001025
-8.8 0.0012125
-8.6 0.001675
-8.4 0.001975
-8.2 0.00235
-8 0.0029375
-7.8 0.0029875
-7.6 0.0040875
-7.4 0.00445
-7.2 0.005175
-7 0.006
-6.8 0.00665
-6.6 0.007725
-6.4 0.0091125
-6.2 0.009525
-6 0.010225
-5.8 0.0115625
-5.6 0.013325
-5.4 0.0145625
-5.2 0.016225
-5 0.0178125
-4.8 0.0193625
-4.6 0.021075
-4.4 0.0235125
-4.2 0.0242875
-4 0.026375
-3.8 0.0286625
-3.6 0.0316125
-3.4 0.0328625
-3.2 0.0346125
-3 0.0371875
-2.8 0.0393
-2.6 0.042175
-2.4 0.0433625
-2.2 0.04705
-2 0.04905
-1.8 0.05215
-1.6 0.0557625
-1.4 0.0562125
-1.2 0.057975
-1 0.060725
-0.8 0.0649625
-0.6 0.067025
-0.4 0.0692
-0.2 0.0734125
-1.98175e-14 0.0745
0.2 0.0790125
0.4 0.0824875
0.6 0.0823875
0.8 0.08465
1 0.090575
1.2 0.0917625
1.4 0.0951125
1.6 0.0961375
1.8 0.101538
2 0.104688
2.2 0.107213
2.4 0.111325
2.6 0.115288
2.8 0.1175
3 0.119563
3.2 0.122713
3.4 0.127125
3.6 0.130562
3.8 0.132087
4 0.136
4.2 0.140662
4.4 0.144375
4.6 0.1466
4.8 0.149175
5 0.155913
5.2 0.159612
5.4 0.16105
5.6 0.164275
5.8 0.169813
6 0.171637
6.2 0.177863
6.4 0.181475
6.6 0.185275
6.8 0.188125
7 0.191925
7.2 0.196187
7.4 0.201075
7.6 0.201763
7.8 0.208675
8 0.2134
8.2 0.218062
8.4 0.21645
8.6 0.224137
8.8 0.22575
9 0.229075
9.2 0.233788
9.4 0.239987
9.6 0.241175
9.8 0.245438
10 0.2499
10.2 0.253
10.4 0.25695
10.6 0.258688
10.8 0.262412
11 0.26755
11.2 0.270388
11.4 0.2709
11.6 0.27765
11.8 0.283275
12 0.286612
12.2 0.288175
12.4 0.290513
12.6 0.294375
12.8 0.296113
13 0.304975
13.2 0.30545
13.4 0.307663
13.6 0.310063
13.8 0.315975
14 0.32065
14.2 0.323825
14.4 0.323437
14.6 0.331713
14.8 0.333137
15 0.333575
